"assay_type","feature_id","original_class","name","quality","method","group","chain_length","mean_value__DMEM","mean_value__3T3-L1","mean_value__Adipocytes","mean_value__BMC + 3T3-L1","mean_value__BMC + Adipocytes","median_value__DMEM","median_value__3T3-L1","median_value__Adipocytes","median_value__BMC + 3T3-L1","median_value__BMC + Adipocytes","log2FC_BMC_Adipo_vs_BMC_3T3","log2FC_Adipo_vs_3T3","log2FC_BMC_Adipo_vs_Adipo","log2FC_BMC_3T3_vs_3T3","bmc_effect_adipocyte_abs","bmc_effect_3T3_abs","delta_bmc_effect_abs","bmc_effect_adipocyte_log2","bmc_effect_3T3_log2","delta_bmc_effect_log2","biological_pattern"
"Water-soluble",166,"Ser Metabs","CDP-Choline (+)",3,NA,"Other/Unclassified",NA,4.12660977887425,25.0881441779106,0.561472794439677,0.000142054331553846,4.36271992629074,0.000213186636550206,4.9158320112714,0.00018416610324654,0.000138498478068201,1.49707653800681,13.3999798220241,-14.7041326113902,12.9888449777612,-15.1152674556531,1.49689237190356,-4.91569351279333,6.41258588469689,12.9888449777612,-15.1152674556531,28.1041124334143,"Stronger BMC-associated accumulation in adipocyte context"
"Water-soluble",233,"""S""-Metabs","GSSG (pos.)",3,NA,"Other/Unclassified",NA,5.31667132971854,67.8729298207504,0.681035766377685,3.33028315159458,43.5411125254466,2.21991244639729,17.6494477766277,0.000176250678014547,2.41153550012352,36.4004731878664,3.9159332510698,-16.6116265262293,17.6559606864927,-2.87159909080639,36.4002969371884,-15.2379122765041,51.6382092136925,17.6559606864927,-2.87159909080639,20.5275597772991,"Stronger BMC-associated accumulation in adipocyte context"
"Water-soluble",103,"Glu-AA","GluGly (2 BHA)",3,NA,"Other/Unclassified",NA,0.000836828969555447,381.641255977941,0.000183180449953859,799.994116739472,536.293176022527,0.000839886283596632,370.426406009085,0.000183106742115233,759.261977192892,538.732200022304,-0.495029464139368,-20.9480627226501,21.4884440748684,1.03541081635766,538.732016915562,388.835571183808,149.896445731754,21.4884440748684,1.03541081635766,20.4530332585108,"Stronger BMC-associated accumulation in adipocyte context"
"Water-soluble",65,"Ac-AA","N-Ac-Asn (neg.)",3,NA,"Other/Unclassified",NA,7.81720992443739,1.21937414248944,29.6575397803311,33.3153690831437,56.2013608878738,8.8829632085219,0.000182955525373903,32.1031797469597,32.8911725655487,57.0509809055486,0.794551250713557,17.4208558024476,0.829535491584023,17.4558400433181,24.9478011585888,32.8909896100233,-7.94318845143447,0.829535491584023,17.4558400433181,-16.6263045517341,"Adipocyte-enriched; further increased after BMC co-culture"
"Water-soluble",342,"Carboxylic Acids","Phytanoic Acid (1 BHA)",3,NA,"Other/Unclassified",NA,3651.4173402173,578.209908538512,580.76320379507,212.583921105071,15.5039013407444,3533.52690391984,666.720526956707,413.385369032237,120.782455529106,0.863079296539376,-7.12870207665628,-0.689594817123173,-8.90377849629991,-2.4646712367668,-412.522289735697,-545.938071427601,133.415781691904,-8.90377849629991,-2.4646712367668,-6.43910725953311,"Stronger BMC-associated depletion in adipocyte context"
"Water-soluble",470,"Purines","Uric Acid (neg.)",3,NA,"Other/Unclassified",NA,132.855952492431,7.53128979543125,342.663291707659,823.615760050315,671.535800288052,136.750486694858,4.90851379025644,333.774721490049,817.800989985641,662.260344774093,-0.304351335063302,6.08744461693002,0.988523778271068,7.38031973026439,328.485623284044,812.892476195384,-484.40685291134,0.988523778271068,7.38031973026439,-6.39179595199332,"Adipocyte-enriched; further increased after BMC co-culture"
"Water-soluble",258,"Polyamines","Acetylspermidine",3,NA,"Other/Unclassified",NA,20574.971019938,9745.97144279501,36796.3220405938,14330.7442764907,10509.2176164942,21345.4939615627,807.696753872013,33417.7836840923,12593.5099689628,9617.05257826283,-0.389013724725505,5.37065850347409,-1.79694934338876,3.96272288481083,-23800.7311058294,11785.8132150908,-35586.5443209203,-1.79694934338876,3.96272288481083,-5.7596722281996,"Adipocyte-enriched; reduced after BMC co-culture"
"Water-soluble",438,"Pyrimidines","dUridine (neg.)",3,NA,"Other/Unclassified",NA,255.052935915588,18.279702497194,865.205925907547,752.453804030178,1606.04077954112,246.571176151221,8.95221085455585,856.707663148363,745.881264722734,1609.33396944851,1.10944585135232,6.58041516588015,0.909588847226248,6.38055816175407,752.626306300152,736.929053868178,15.6972524319741,0.909588847226248,6.38055816175407,-5.47096931452783,"Adipocyte-enriched; further increased after BMC co-culture"
"Water-soluble",252,"Polyamines","N-Acetylputrescine (pos.)",3,NA,"Other/Unclassified",NA,1208.43052891021,30648.3926243035,1100.41236329955,14838.9866628734,14183.0568992822,1132.53043623309,31345.447062853,1088.03316400383,14909.0910660956,14159.412958162,-0.0744308530054128,-4.84846146956975,3.70196701656515,-1.07206359999919,13071.3797941582,-16436.3559967573,29507.7357909155,3.70196701656515,-1.07206359999919,4.77403061656434,"Stronger BMC-associated accumulation in adipocyte context"
"Water-soluble",182,"Lys-Metabs","Oxadipinate (3 BHA)",3,NA,"Other/Unclassified",NA,104.93217766076,307.790957909153,12.9439197900113,300.355516327499,408.987296443437,73.8458787175286,241.822456528703,14.4762359248882,285.229137554196,415.060159554362,0.541199090708487,-4.0621897944241,4.84156202799881,0.238173142866214,400.583923629473,43.4066810254937,357.17724260398,4.84156202799881,0.238173142866214,4.60338888513259,"Stronger BMC-associated accumulation in adipocyte context"
