"assay_type","feature_id","original_class","name","quality","method","group","chain_length","mean_value__DMEM","mean_value__3T3-L1","mean_value__Adipocytes","mean_value__BMC + 3T3-L1","mean_value__BMC + Adipocytes","median_value__DMEM","median_value__3T3-L1","median_value__Adipocytes","median_value__BMC + 3T3-L1","median_value__BMC + Adipocytes","log2FC_BMC_Adipo_vs_BMC_3T3","log2FC_Adipo_vs_3T3","log2FC_BMC_Adipo_vs_Adipo","log2FC_BMC_3T3_vs_3T3","bmc_effect_adipocyte_abs","bmc_effect_3T3_abs","delta_bmc_effect_abs","bmc_effect_adipocyte_log2","bmc_effect_3T3_log2","delta_bmc_effect_log2","biological_pattern"
"Lipid",351,"Phosphatidylcholines","PC-(36:00)",3,NA,"Phosphatidylcholine","Very-long-chain",33.0539893201112,42.4137047158254,0.457549247628252,8.18682844664999,4.28247951122976,26.6751700741842,24.3183912170549,0.00108999322865687,0.00105718720783773,5.55243559222156,12.3586727996796,-14.4454396738845,12.3145845414665,-14.4895279320976,5.55134559899291,-24.3173340298471,29.86867962884,12.3145845414665,-14.4895279320976,26.8041124735641,"Stronger BMC-associated accumulation in adipocyte context"
"Lipid",629,"Plasmalogenethanolamines","PlasEA-(34:01)",3,NA,"Plasmalogen","Very-long-chain",0.000992166232026299,265.115637172402,85.9801065864869,1602.743432693,1980.40379057819,0.00097489349756488,384.236427635399,0.00108999322865687,1583.64462858674,2022.68494384565,0.353022991706924,-18.4273142788245,20.8235196943955,2.04318242386412,2022.68385385242,1199.40820095134,823.275652901083,20.8235196943955,2.04318242386412,18.7803372705314,"Stronger BMC-associated accumulation in adipocyte context"
"Lipid",671,"Sphingomyelines","SM-(d18:1/20:04)",3,NA,"Sphingomyelin",NA,10.7484315395492,40.3797963110244,4.6221987402501,34.4716406196588,24.0647543716065,0.00097489349756488,37.4120346777332,0.000957145630622731,28.7724070485115,27.6258617471139,-0.0586664515276175,-15.2544029482719,14.8169199862621,-0.37881651048214,27.6249046014833,-8.6396276292217,36.264532230705,14.8169199862621,-0.37881651048214,15.1957364967442,"Stronger BMC-associated accumulation in adipocyte context"
"Lipid",422,"Phosphatidylinositoles","PI-(36:04)",3,NA,"Phosphatidylinositol","Very-long-chain",12.3990607436983,19.7584816215788,51.0132579447336,0.00105139758397948,52.5969199366687,14.6499841588061,28.5072272468217,61.6529924939311,0.00105718720783773,40.0151398609104,15.2080260933555,1.11284319890531,-0.62362496965932,-14.7188078641095,-21.6378526330207,-28.5061700596139,6.86831742659319,-0.62362496965932,-14.7188078641095,14.0951828944502,"Adipocyte-enriched; reduced after BMC co-culture"
"Lipid",65,"Ubiquinols","Q9 (NH4+)",3,NA,"Other/Unclassified",NA,0.000302313568244266,0.000279955286816122,0.000230089444174386,0.000210795732889695,2.04689522441523,0.000301607992853097,0.000288422240931212,0.000209786498182934,0.000203091664407272,2.23076682975552,13.4231139731431,-0.45925871427061,13.376323398095,-0.506049289318698,2.23055704325734,-8.53305765239397e-05,2.23064237383386,13.376323398095,-0.506049289318698,13.8823726874137,"Stronger BMC-associated accumulation in adipocyte context"
"Lipid",679,"Cerebrosides","Cer-(18:01) (pos.)",3,NA,"Other/Unclassified","Long-chain",0.000992166232026299,0.00143852214842917,10.0712080114043,4.98012371991287,4.51483406433618,0.00097489349756488,0.00148043348809834,9.52685240497034,7.18852816284227,4.25342225886806,-0.757072326008699,12.6517632728275,-1.16337555214105,12.2454600466951,-5.27343014610228,7.18704772935417,-12.4604778754565,-1.16337555214105,12.2454600466951,-13.4088355988362,"Adipocyte-enriched; reduced after BMC co-culture"
"Lipid",416,"Phosphatidylethanolamines","PEA-(40:09)",3,NA,"Phosphatidylethanolamine","Very-long-chain",5.29072424689021,8.14974444064171,15.8507640834363,24.4082329135161,31.6842928640802,5.55006868163686,0.00150640433643434,14.5868994106904,29.1138785166431,39.5598023028938,0.442328169943353,13.2412756206193,1.43936195950807,14.238309410184,24.9729028922034,29.1123721123067,-4.13946922010332,1.43936195950807,14.238309410184,-12.798947450676,"Adipocyte-enriched; further increased after BMC co-culture"
"Lipid",454,"Phosphatidylserines","PS-(36:03)",3,NA,"Phosphatidylserine","Very-long-chain",19.2853822323329,3.77703739462857,9.37520503019884,14.7842613746127,10.293527269024,22.3682513298518,0.00150640433643434,6.06010325847876,8.90089542683104,6.11551956113749,-0.541475405732471,11.9740166451642,0.0131326960870706,12.5286247469837,0.0554163026587293,8.89938902249461,-8.84397271983588,0.0131326960870706,12.5286247469837,-12.5154920508967,"Stronger BMC-associated depletion in adipocyte context"
"Lipid",451,"Phosphatidylserines","PS-(36:00)",3,NA,"Phosphatidylserine","Very-long-chain",1.86095410330527,5.99225937065306,38.8044146830069,42.5195249012311,38.6652633536556,0.00106491125672793,0.00150640433643434,14.3857306318133,8.8759872147837,28.385846914021,1.67719229153063,13.221240859304,0.980533290675318,12.5245818584487,14.0001162822077,8.87448081044727,5.12563547176045,0.980533290675318,12.5245818584487,-11.5440485677734,"Adipocyte-enriched; further increased after BMC co-culture"
"Lipid",240,"Lysophosphatidates","LPA-(18:01)",3,NA,"Lysophosphatidic acid","Long-chain",26.7334757930028,3.13477738906108,0.677933614002424,6.81267318935208,3.59659264749125,25.4788415588581,3.17108853150665,0.00108999322865687,4.75421960381899,4.81679400215972,0.0188646812468558,-11.5064419445766,12.1095370148771,0.584230389053695,4.81570400893106,1.58313107231234,3.23257293661872,12.1095370148771,0.584230389053695,11.5253066258234,"Stronger BMC-associated accumulation in adipocyte context"
